2026-03-10 12:11:46 | Client: hi
2026-03-10 12:11:51 | Server: hello
2026-03-10 12:11:55 | Client: gA
2026-03-10 12:12:01 | Server: exit
2026-03-10 12:12:05 | Client: exit
2026-03-10 12:59:05 | Client: hi
2026-03-10 12:59:09 | Server: hello
2026-03-10 12:59:17 | Client: had lunch ?
2026-03-10 12:59:21 | Server: no
2026-03-10 12:59:23 | Client: ok
2026-03-10 12:59:27 | Server: exit
2026-03-10 12:59:32 | Client: 
2026-03-10 14:30:16 | Client: hey
2026-03-10 14:30:20 | Server: hello
2026-03-10 14:30:26 | Client: hi
2026-03-10 15:11:57 | Client: hello
2026-03-10 15:11:59 | Server: hi
2026-03-10 15:12:06 | Client: good afternoon
